Page URL,Page Title,Outcome,Impact,Code Snippet,Selector,Remediation,Manual,Rule ID,Help,Description,Help URL,Standard,WCAG 2 Success Criteria,Section 508 Paragraph,Tags,Date,axe-core,Needs Review,IGT,Found By,Test Title,Share URL
http://localhost/,A11yResults.rtl-component,Failed,Critical,"<button value=""submit""></button>",button,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",false,button-name,Buttons must have discernible text,Ensure buttons have discernible text,https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",Paragraph A - Equivalent alternatives for non-text elements,"cat.name-role-value, wcag2a, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.4.1.2, ACT",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Failed,Critical,"<img src=""image.jpg"">",img,"Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",false,image-alt,Images must have alternate text,Ensure <img> elements have alternate text or a role of none or presentation,https://dequeuniversity.com/rules/axe/4.10/image-alt?application=AxeDevToolsAPI,WCAG 2.0 Level A,1.1.1 Non-text Content,Paragraph A - Equivalent alternatives for non-text elements,"cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, TT7.b, EN-301-549, EN-9.1.1.1, ACT",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Needs review,,,,,false,color-contrast,Elements must meet minimum color contrast ratio thresholds,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeDevToolsAPI,WCAG 2.0 Level AA,1.4.3 Contrast (Minimum),,"cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT",2024-09-03T15:48:44.287Z,4.10.0,Yes,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,area-alt,Active <area> elements must have alternate text,Ensure <area> elements of image maps have alternate text,https://dequeuniversity.com/rules/axe/4.10/area-alt?application=AxeDevToolsAPI,WCAG 2.0 Level A,"2.4.4 Link Purpose (In Context), 4.1.2 Name, Role, Value",Paragraph A - Equivalent alternatives for non-text elements,"cat.text-alternatives, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-allowed-attr,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-braille-equivalent,aria-braille attributes must have a non-braille equivalent,Ensure aria-braillelabel and aria-brailleroledescription have a non-braille equivalent,https://dequeuniversity.com/rules/axe/4.10/aria-braille-equivalent?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-command-name,ARIA commands must have an accessible name,"Ensure every ARIA button, link and menuitem has an accessible name",https://dequeuniversity.com/rules/axe/4.10/aria-command-name?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, TTv5, TT6.a, EN-301-549, EN-9.4.1.2, ACT",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-conditional-attr,ARIA attributes must be used as specified for the element's role,Ensure ARIA attributes are used as described in the specification of the element's role,https://dequeuniversity.com/rules/axe/4.10/aria-conditional-attr?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-deprecated-role,Deprecated ARIA roles must not be used,Ensure elements do not use deprecated roles,https://dequeuniversity.com/rules/axe/4.10/aria-deprecated-role?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-hidden-body,"aria-hidden=""true"" must not be present on the document body","Ensure aria-hidden=""true"" is not present on the document body.",https://dequeuniversity.com/rules/axe/4.10/aria-hidden-body?application=AxeDevToolsAPI,WCAG 2.0 Level A,"1.3.1 Info and Relationships, 4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag131, wcag412, EN-301-549, EN-9.1.3.1, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-hidden-focus,ARIA hidden element must not be focusable or contain focusable elements,Ensure aria-hidden elements are not focusable nor contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.name-role-value, wcag2a, wcag412, TTv5, TT6.a, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-input-field-name,ARIA input fields must have an accessible name,Ensure every ARIA input field has an accessible name,https://dequeuniversity.com/rules/axe/4.10/aria-input-field-name?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, TTv5, TT5.c, EN-301-549, EN-9.4.1.2, ACT",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-meter-name,ARIA meter nodes must have an accessible name,Ensure every ARIA meter node has an accessible name,https://dequeuniversity.com/rules/axe/4.10/aria-meter-name?application=AxeDevToolsAPI,WCAG 2.0 Level A,1.1.1 Non-text Content,,"cat.aria, wcag2a, wcag111, EN-301-549, EN-9.1.1.1",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-progressbar-name,ARIA progressbar nodes must have an accessible name,Ensure every ARIA progressbar node has an accessible name,https://dequeuniversity.com/rules/axe/4.10/aria-progressbar-name?application=AxeDevToolsAPI,WCAG 2.0 Level A,1.1.1 Non-text Content,,"cat.aria, wcag2a, wcag111, EN-301-549, EN-9.1.1.1",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-prohibited-attr,Elements must only use permitted ARIA attributes,Ensure ARIA attributes are not prohibited for an element's role,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-required-attr,Required ARIA attributes must be provided,Ensure elements with ARIA roles have all required ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-required-attr?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-required-children,Certain ARIA roles must contain particular children,Ensure elements with an ARIA role that require child roles contain them,https://dequeuniversity.com/rules/axe/4.10/aria-required-children?application=AxeDevToolsAPI,WCAG 2.0 Level A,1.3.1 Info and Relationships,,"cat.aria, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-required-parent,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,https://dequeuniversity.com/rules/axe/4.10/aria-required-parent?application=AxeDevToolsAPI,WCAG 2.0 Level A,1.3.1 Info and Relationships,,"cat.aria, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
http://localhost/,A11yResults.rtl-component,Inapplicable,,,,,false,aria-roles,ARIA roles used must conform to valid values,Ensure all elements with a role attribute use a valid value,https://dequeuniversity.com/rules/axe/4.10/aria-roles?application=AxeDevToolsAPI,WCAG 2.0 Level A,"4.1.2 Name, Role, Value",,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",2024-09-03T15:48:44.287Z,4.10.0,No,,,A11yResults.rtl-component,
